,Link,Price,Price/m2,Number of rooms,m2,Date sold,Rent,Drift cost,Number of floors,Built year,Region
0,https://www.booli.se/annons/3571892,4585000,86509,2,53,2019-09-20,3329,492,1,1936,vasastan
1,https://www.booli.se/annons/3570679,6250000,94697,3,66,2019-09-19,1914,730,1,1903,vasastan
2,https://www.booli.se/annons/3566437,4650000,81579,2,57,2019-09-14,2652,530,3,1973,vasastan
3,https://www.booli.se/annons/3577174,11350000,97009,3,117,2019-09-20,3917,800,2,1902,vasastan
4,https://www.booli.se/annons/3572013,4150000,106410,2,39,2019-09-17,2566,483,2,1928,vasastan
5,https://www.booli.se/annons/3571357,5610000,96724,2,58,2019-09-19,3051,200,0,1926,vasastan
6,https://www.booli.se/annons/3566006,3310000,97353,1,34,2019-09-19,1976,520,3,1919,vasastan
7,https://www.booli.se/annons/3373438,3920000,95610,2,41,2019-09-19,1825,770,1,1927,vasastan
8,https://www.booli.se/annons/3566857,6050000,93077,2,65,2019-09-19,2471,753,4,1905,vasastan
9,https://www.booli.se/annons/3546159,3000000,103448,1,29,2019-09-19,1000,750,1.5,1910,vasastan
10,https://www.booli.se/annons/3461676,4300000,86000,3,50,2019-07-25,2747,450,3,1939,vasastan
11,https://www.booli.se/annons/3564276,3410000,106563,1,32,2019-09-18,2004,400,2,1904,vasastan
12,https://www.booli.se/annons/3572009,2700000,108000,1,25,2019-09-18,1377,380,2,1931,vasastan
13,https://www.booli.se/annons/3549984,5775000,96250,2,60,2019-09-18,2451,500,2,1884,vasastan
14,https://www.booli.se/annons/3570058,4775000,97449,2,49,2019-09-18,2357,500,3,1897,vasastan
15,https://www.booli.se/annons/3562973,5525000,86328,2,64,2019-09-18,1814,750,1,1914,vasastan
16,https://www.booli.se/annons/3570050,5200000,92857,2,56,2019-09-18,2019,396,4,1928,vasastan
17,https://www.booli.se/annons/3568899,6100000,87143,2.5,70,2019-09-18,3390,550,1.5,1926,vasastan
18,https://www.booli.se/annons/3568657,8350000,105031,3,80,2019-09-17,2268,500,5,1937,vasastan
19,https://www.booli.se/annons/3511183,4965000,95481,2,52,2019-09-17,2465,700,2,1912,vasastan
20,https://www.booli.se/annons/3352855,8100000,86910,4,93,2019-03-21,4546,1441,3,1906,vasastan
21,https://www.booli.se/annons/3572221,11000000,107843,5,102,2019-09-13,5145,667,3,1892,vasastan
